0.83,1,4
2.5,1,4
4.17,1,4
5.83,1,4
7.5,1,4
9.17,1,4
9.17,17,4
7.5,17,4
5.83,17,4
4.17,17,4
2.5,17,4
0.83,17,4
5,9,0.2
4,8,0.5
4,2,1
5,1,0.5
5,8.5,0.2
5,8,1.2
6,8.5,0.3
9.17,10,0.2
7.5,10,0.2
5,17,0.2
4.17,10,0.2
2.5,10,0.2
0.83,10,0.2
5,9,0.2
4,8,0.5
4,2,1
5,1,0.5
5,8.5,0.2
5,8.5,1.2
6,8.5,0.3
9.17,10,0.2
7.5,10,0.2
5,17,0.2
4.17,10,0.2
2.5,10,0.2
0.83,10,0.2
5,9.1,0.2
4,8,0.5
4,2,1
5,1,0.5
5,8.5,0.2
5,9,1.2
6,8.5,0.3
9.17,10,0.2
7.5,10,0.2
5,17,0.2
4.17,10,0.2
2.5,10,0.2
0.83,10,0.2
5,9,1.8
4,10,0.5
4,4,1
5,1,0.5
5,9,0.2
5,11,1.2
6,11,0.3
9.17,10,0.2
7.5,10,0.2
5,17,0.2
4.17,10,0.2
2.5,10,0.2
0.83,10,0.2
5,11,1.8
2,17,0.5
4,9,4
5,1,4
5,11,0.2
5,16,0.5
6,17.8,0.3
9.17,10.5,0.2
7.5,10.5,0.2
5,17.5,0.5
4.17,10.5,0.2
2.5,10.5,0.2
0.83,10.5,0.2
5,16,1.1
2,17,0.5
4,9,4
5,1,4
5,11,0.2
5,16,0.5
6,17.8,0.3
9.17,10.5,0.2
7.5,10.5,0.2
5,17.5,0.5
4.17,10.5,0.2
2.5,10.5,0.2
0.83,10.5,0.2
5.4,17.8,0.3
2,17,0.5
4,9,4
5,1,4
5,11,0.2
5,16,0.5
6,17.8,0.3
9.17,10.5,0.2
7.5,10.5,0.2
5,17.5,0.5
4.17,10.5,0.2
2.5,10.5,0.2
0.83,10.5,0.2
5,17.76,0.2
2,17,4
4,9,4
5,1,4
5,11,4
5,16,4
6,17.8,4
9.17,10.5,4
7.5,10.5,4
5,17.5,4
4.17,10.5,4
2.5,10.5,4
0.83,10.5,4
5,17.5,4
0.83,1,4
2.5,1,4
4.17,1,4
5.83,1,4
7.5,1,4
9.17,1,4
9.17,17,4
7.5,17,4
5.83,17,4
4.17,17,4
2.5,17,4
0.83,17,4
5.83,17,4
0.83,1,4
2.5,1,4
4.17,1,4
5.83,1,4
7.5,1,4
9.17,1,4
9.17,17,4
7.5,17,4
5.83,17,4
4.17,17,4
2.5,17,4
0.83,17,4
5.83,17,4
0.83,1,4
2.5,1,4
4.17,1,4
5.83,1,4
7.5,1,4
9.17,1,4
9.17,17,4
7.5,17,4
5.83,17,4
4.17,17,4
2.5,17,4
0.83,17,4
5.83,17,4
